"","results_7..2..","results_7..3.."
"292",0.00777777777777778,"0"
"293",0,"0"
"294",0,"0"
"295",0.00222222222222222,"0"
"296",0.0122222222222222,"0"
"297",0,"0"
"298",0,"0"
"299",0,"0"
"300",0,"0"
"301",0,"0"
"302",0.00222222222222222,"0"
"303",0,"0"
"304",0,"0"
"305",0,"0"
"306",0,"0"
"307",0,"0"
"308",0,"0"
"309",0.0133333333333333,"0"
"310",0.0122222222222222,"0"
"311",0,"0"
"312",0,"0"
"313",0,"0"
"314",0.00444444444444444,"0"
"315",0.00333333333333333,"0"
"316",0,"0"
"317",0,"0"
"318",0.00333333333333333,"0"
"319",0.00444444444444444,"0"
"320",0.00111111111111111,"0"
"321",0.00111111111111111,"0"
"322",0,"0"
"323",0,"0"
"324",0,"0"
"325",0,"0"
"326",0.0133333333333333,"0"
"327",0.00111111111111111,"0"
"328",0.00111111111111111,"0"
"329",0.00111111111111111,"0"
"330",0,"0"
"331",0.0211111111111111,"0"
"332",0.00333333333333333,"0"
"333",0,"0"
"334",0.0133333333333333,"0"
"335",0.00444444444444444,"0"
"336",0,"0"
"337",0.00222222222222222,"0"
"338",0.00111111111111111,"0"
"339",0,"0"
"340",0,"0"
"341",0.00111111111111111,"0"
"342",0.00111111111111111,"0"
"343",0.00111111111111111,"0"
"344",0.00222222222222222,"0"
"345",0.00111111111111111,"0"
"346",0.00111111111111111,"0"
"347",0.0188888888888889,"0"
"348",0,"0"
"349",0.00111111111111111,"0"
"350",0,"0"
"351",0,"0"
"352",0.0166666666666667,"0"
"353",0,"0"
"354",0,"0"
"355",0.0177777777777778,"0"
"356",0,"0"
"357",0,"0"
"358",0.01,"0"
"359",0.00111111111111111,"0"
"360",0,"0"
"361",0,"0"
"362",0,"0"
"363",0.00111111111111111,"0"
"364",0.00111111111111111,"0"
"365",0,"0"
"366",0,"0"
"367",0.00333333333333333,"0"
"368",0,"0"
"369",0.00111111111111111,"0"
"370",0.00333333333333333,"0"
"371",0,"0"
"372",0,"0"
"373",0.00555555555555556,"0"
"374",0.0411111111111111,"0"
"375",0.00222222222222222,"0"
"376",0,"0"
"377",0.0466666666666667,"0"
"378",0,"0"
"379",0,"0"
"380",0,"0"
"381",0,"0"
"382",0,"0"
"383",0.00111111111111111,"0"
"384",0.00222222222222222,"0"
"385",0.00777777777777778,"0"
"386",0.00111111111111111,"0"
"387",0.00111111111111111,"0"
"388",0.00222222222222222,"0"
"389",0.00555555555555556,"0"
"390",0.00333333333333333,"0"
"391",0,"0"
"392",0.00888888888888889,"0"
"393",0.00333333333333333,"0"
"394",0.00111111111111111,"0"
"395",0.00444444444444444,"0"
"396",0.00777777777777778,"0"
"397",0.00777777777777778,"0"
"398",0.00333333333333333,"0"
"399",0.0566666666666667,"0"
"400",0.0444444444444444,"0"
"401",0.0233333333333333,"0"
"402",0.00444444444444444,"0"
"403",0.0122222222222222,"0"
"404",0,"0"
"405",0.00111111111111111,"0"
"406",0,"0"
"407",0.0955555555555556,"0"
"408",0.00555555555555556,"0"
"409",0.00333333333333333,"0"
"410",0.00333333333333333,"0"
"411",0.0211111111111111,"0"
"412",0.00111111111111111,"0"
"413",0,"0"
"414",0.00111111111111111,"0"
"415",0.0144444444444444,"0"
"416",0,"0"
"417",0.00666666666666667,"0"
"418",0.00333333333333333,"0"
"419",0.00222222222222222,"0"
"420",0.0611111111111111,"0"
"421",0.111111111111111,"0"
"422",0.0366666666666667,"0"
"423",0.00444444444444444,"0"
"424",0.0355555555555556,"0"
"425",0.01,"0"
"426",0.00333333333333333,"0"
"427",0,"0"
"428",0.00111111111111111,"0"
"429",0.00333333333333333,"0"
"430",0.00555555555555556,"0"
"431",0,"0"
"432",0.00666666666666667,"0"
"433",0.00333333333333333,"0"
"434",0.00111111111111111,"0"
"435",0.0322222222222222,"0"
"436",0.00111111111111111,"0"
"437",0,"0"
"438",0.00333333333333333,"0"
"439",0.00555555555555556,"0"
"440",0.00333333333333333,"0"
"441",0.00444444444444444,"0"
"442",0.0122222222222222,"0"
"443",0.06,"0"
"444",0.0611111111111111,"0"
"445",0,"0"
"446",0,"0"
"447",0,"0"
"448",0,"0"
"449",0.0133333333333333,"0"
"450",0,"0"
"451",0,"0"
"452",0.118888888888889,"0"
"453",0,"0"
"454",0.00333333333333333,"0"
"455",0,"0"
"456",0.0288888888888889,"0"
"457",0.01,"0"
"458",0.00444444444444444,"0"
"459",0.0188888888888889,"0"
"460",0.0755555555555556,"0"
"461",0.00222222222222222,"0"
"462",0.00333333333333333,"0"
"463",0.01,"0"
"464",0.0122222222222222,"0"
"465",0.107777777777778,"0"
"466",0.0133333333333333,"0"
"467",0.00666666666666667,"0"
"468",0,"0"
"469",0,"0"
"470",0,"0"
"471",0,"0"
"472",0.00111111111111111,"0"
"473",0,"0"
"474",0,"0"
"475",0.02,"0"
"476",0.0266666666666667,"0"
"477",0,"0"
"478",0.156666666666667,"0"
"479",0.115555555555556,"0"
"480",0.00222222222222222,"0"
"481",0.0133333333333333,"0"
